Date,Open,High,Low,Close,Volume
2022-03-23,1190.0,1190.85,1170.0,1180.7,2338886
2022-03-24,1169.0,1194.0,1169.0,1192.1,2351703
2022-03-25,1199.0,1199.0,1175.4,1179.35,2489854
2022-03-28,1184.9,1187.6,1158.2,1163.95,3406258
2022-03-29,1167.0,1175.0,1163.65,1167.7,2443230
2022-03-30,1177.35,1181.95,1162.1,1165.2,3073672
2022-03-31,1174.8,1174.8,1161.0,1163.75,3006639
2022-04-01,1161.0,1174.0,1152.05,1169.65,2479745
2022-04-04,1173.2,1188.95,1168.0,1187.05,2282137
2022-04-05,1190.0,1203.0,1184.1,1195.45,2634464
2022-04-06,1190.0,1194.9,1167.5,1170.5,2838968
2022-04-07,1165.6,1180.75,1163.0,1173.3,3391918
2022-04-08,1179.0,1180.0,1162.55,1165.35,2656091
2022-04-11,1164.0,1164.0,1131.75,1133.5,5679058
2022-04-12,1129.8,1141.7,1119.55,1131.15,2906617
2022-04-13,1135.0,1143.1,1123.0,1125.1,1971580
2022-04-18,1110.0,1112.75,1084.6,1101.75,4391701
2022-04-19,1115.9,1115.95,1058.75,1070.25,3422431
2022-04-20,1075.0,1094.8,1064.7,1089.4,2573318
2022-04-21,1095.0,1105.05,1081.1,1099.2,2547848
2022-04-22,1086.6,1134.95,1081.1,1102.05,9567571
2022-04-25,1096.9,1098.0,1077.3,1089.85,3565801
2022-04-26,1104.0,1107.0,1085.05,1094.3,3213714
2022-04-27,1087.0,1099.9,1074.6,1095.6,3288792
2022-04-28,1092.0,1102.3,1073.3,1092.5,5202061
2022-04-29,1094.0,1100.5,1074.35,1079.25,2988180
2022-05-02,1073.0,1082.0,1062.0,1066.9,2584604
2022-05-04,1075.9,1076.0,1035.8,1044.95,3385725
2022-05-05,1059.0,1075.2,1047.1,1072.05,2982126
2022-05-06,1049.9,1056.65,1028.95,1050.2,4075606
2022-05-09,1044.0,1082.9,1034.1,1076.1,4207192
2022-05-10,1073.0,1085.0,1066.6,1072.55,2473518
2022-05-11,1069.0,1079.3,1054.05,1060.9,2895668
2022-05-12,1050.1,1070.95,1043.75,1059.4,3195189
2022-05-13,1070.0,1078.0,1045.1,1052.15,2496626
2022-05-16,1054.0,1066.95,1040.2,1044.55,1415370
2022-05-17,1058.2,1086.0,1045.35,1082.9,2620776
2022-05-18,1083.55,1097.35,1070.8,1073.7,2865869
2022-05-19,1055.1,1058.3,1004.6,1009.4,4729354
2022-05-20,1029.0,1034.5,1016.8,1028.85,2005622
2022-05-23,1023.0,1037.0,1014.75,1018.3,2285466
2022-05-24,1022.05,1022.4,987.0,991.75,3418456
2022-05-25,992.0,992.8,963.0,974.45,3904551
2022-05-26,977.0,986.0,969.05,980.7,4278059
2022-05-27,989.0,1010.45,989.0,1003.9,2795530
2022-05-30,1019.0,1053.35,1015.65,1039.9,3562969
2022-05-31,1045.0,1045.8,1020.45,1040.75,5185485
2022-06-01,1040.75,1045.45,1011.55,1017.9,2554081
2022-06-02,1011.4,1048.9,1007.3,1039.7,3560227
2022-06-03,1053.95,1069.65,1040.2,1043.0,3556955
2022-06-06,1038.0,1047.35,1021.15,1037.3,1997494
2022-06-07,1030.0,1033.75,1013.15,1022.9,1839248
2022-06-08,1023.1,1033.8,1016.0,1030.2,1665512
2022-06-09,1024.95,1031.7,1011.7,1028.65,1654005
2022-06-10,1012.0,1023.75,1008.2,1015.35,2260855
2022-06-13,996.0,1002.0,982.5,991.8,1738804
2022-06-14,988.0,1000.95,978.15,996.9,2461791
2022-06-15,989.0,1007.0,988.0,989.9,2408630
2022-06-16,1007.0,1007.0,961.65,964.95,3198618
2022-06-17,952.4,963.15,944.05,958.75,4302066
2022-06-20,965.0,966.0,952.1,960.05,1305407
2022-06-21,971.7,999.9,963.65,986.6,2128325
2022-06-22,977.95,979.0,959.15,961.3,2575065
2022-06-23,962.1,977.5,958.6,971.25,2169033
2022-06-24,984.0,984.55,960.0,966.7,1922313
2022-06-27,986.15,1006.8,984.2,992.35,3626024
2022-06-28,989.9,1007.0,983.25,1001.95,2702471
2022-06-29,985.1,1000.25,985.0,987.55,3150015
2022-06-30,990.0,996.55,969.95,973.25,3741119
2022-07-01,964.5,981.45,964.2,975.35,2827579
2022-07-04,975.35,989.5,973.45,984.6,2738846
2022-07-05,987.4,1002.65,978.45,982.15,2476050
2022-07-06,982.0,999.0,980.05,986.6,2998254
2022-07-07,997.0,1000.9,984.95,989.85,2985141
2022-07-08,999.0,999.0,979.15,983.55,3141642
2022-07-11,975.0,979.15,940.0,943.55,5787815
2022-07-12,935.0,948.55,924.4,927.8,5305354
2022-07-13,930.0,936.0,905.0,917.75,12874342
2022-07-14,926.15,927.55,892.3,903.0,4916497
2022-07-15,896.0,905.0,877.35,883.15,5591590
2022-07-18,895.0,907.5,888.85,900.3,5156225
2022-07-19,890.0,897.5,885.0,889.7,4636293
2022-07-20,904.6,918.8,895.1,917.4,4827089
2022-07-21,921.0,926.95,913.55,924.45,3498709
2022-07-22,929.4,931.9,909.0,920.25,3514659
2022-07-25,920.25,932.0,914.0,930.65,2120224
2022-07-26,928.5,929.65,911.1,913.5,2780103
2022-07-27,912.1,929.35,911.1,928.45,1742497
2022-07-28,935.9,949.0,932.7,946.1,2843497
2022-07-29,957.0,965.7,947.15,948.4,3617725
2022-08-01,954.0,956.5,945.2,952.15,2489519
2022-08-02,952.15,953.85,941.05,951.05,2545241
2022-08-03,951.0,961.8,950.05,957.2,4119614
2022-08-04,965.0,969.95,945.8,958.1,3513266
2022-08-05,962.9,964.95,955.0,957.75,2565683
2022-08-08,957.75,968.0,950.05,966.05,1746911
2022-08-10,966.05,967.0,948.1,952.05,3271939
2022-08-11,965.0,968.5,958.75,962.35,3594584
2022-08-12,964.0,964.0,954.0,956.4,3022304
2022-08-16,969.0,969.0,952.65,958.2,2784861
2022-08-17,963.0,982.9,955.0,980.6,4649125
2022-08-18,983.45,983.45,968.1,973.5,2829269
2022-08-19,974.5,987.05,966.8,970.05,2880969
2022-08-22,965.0,970.0,955.2,959.45,3616799
2022-08-23,949.95,951.0,939.0,946.9,3753715
2022-08-24,949.9,953.8,944.15,949.15,1494361
2022-08-25,953.9,953.9,942.65,943.8,3316314
2022-08-26,948.55,956.0,943.75,945.65,2195046
2022-08-29,912.6,922.0,900.1,917.5,4974880
2022-08-30,926.9,945.25,923.7,938.95,2998417
2022-09-01,917.3,931.0,916.25,926.05,2953921
2022-09-02,931.2,937.0,919.0,924.45,1750283
2022-09-05,926.0,942.3,922.5,936.0,2279812
2022-09-06,936.0,942.9,927.05,937.8,2108615
2022-09-07,927.0,932.55,923.1,931.7,2709547
2022-09-08,936.4,940.9,928.0,931.05,3214686
2022-09-09,939.0,953.0,934.3,948.5,2206526
2022-09-12,955.15,963.5,953.5,955.55,2517615
2022-09-13,955.0,959.8,950.45,955.4,2442828
2022-09-14,933.3,938.45,926.55,932.0,6761712
2022-09-15,936.5,936.7,916.3,919.9,2995215
2022-09-16,915.1,918.0,893.4,896.9,5095937
2022-09-19,897.95,907.15,887.5,897.8,2686561
2022-09-20,902.3,920.85,902.0,914.0,1836721
2022-09-21,909.0,913.75,898.85,900.95,1819649
2022-09-22,897.6,904.9,889.75,897.65,2315711
2022-09-23,896.5,912.6,892.0,895.85,2569608
2022-09-26,891.25,917.4,882.0,906.7,4182702
2022-09-27,911.25,921.45,907.6,918.75,3545337
2022-09-28,913.0,926.95,911.85,920.8,4154139
2022-09-29,927.0,931.0,916.6,923.05,2928360
2022-09-30,921.9,935.55,910.05,932.35,3229901
2022-10-03,932.35,932.85,916.0,930.25,1598950
2022-10-04,942.5,951.0,937.05,946.0,2331351
2022-10-06,955.5,967.95,955.5,964.55,3713623
2022-10-07,965.0,972.95,955.0,957.7,2174327
2022-10-10,942.2,967.15,942.2,963.25,2758812
2022-10-11,968.1,972.0,936.0,938.6,3134969
2022-10-12,943.3,963.9,943.3,952.0,3502390
2022-10-13,972.05,989.05,969.3,982.1,9698562
2022-10-14,1005.0,1023.0,994.0,1002.55,7424383
2022-10-17,1005.7,1006.8,991.1,994.6,2136170
2022-10-18,1000.0,1013.65,999.1,1009.2,2487826
2022-10-19,1006.5,1006.5,994.0,995.65,2517099
2022-10-20,990.0,1019.3,988.0,1017.4,3931399
2022-10-21,1022.5,1029.9,1011.6,1027.2,2071897
2022-10-24,1035.0,1038.85,1030.0,1031.6,398105
2022-10-25,1036.0,1037.25,1020.9,1026.5,3068136
2022-10-27,1031.0,1037.45,1019.6,1032.05,3313674
2022-10-28,1031.95,1039.75,1025.5,1030.0,2423629
2022-10-31,1039.0,1052.5,1036.4,1041.15,2418565
2022-11-01,1049.0,1061.85,1045.0,1060.05,2275488
2022-11-02,1064.95,1066.35,1042.5,1045.2,2799322
2022-11-03,1034.0,1049.2,1033.1,1045.15,2396164
2022-11-04,1045.15,1049.0,1033.45,1045.35,1709158
2022-11-07,1048.1,1055.7,1038.65,1047.15,2213508
2022-11-09,1060.9,1061.45,1049.2,1053.45,2307691
2022-11-10,1050.0,1062.4,1047.05,1052.45,2321667
2022-11-11,1071.0,1098.7,1069.1,1090.65,3923101
2022-11-14,1095.0,1102.95,1090.05,1099.0,2170007
2022-11-15,1093.5,1106.1,1088.9,1103.9,2172420
2022-11-16,1107.5,1112.45,1099.35,1105.2,2213697
2022-11-17,1095.1,1100.6,1089.1,1092.55,2460883
2022-11-18,1098.05,1106.0,1084.0,1103.15,2623894
2022-11-21,1098.9,1106.35,1092.6,1095.5,1733741
2022-11-22,1091.1,1105.9,1088.0,1103.4,2529146
2022-11-23,1108.95,1111.5,1099.75,1103.4,2217599
2022-11-24,1106.0,1135.0,1103.5,1129.6,3295202
2022-11-25,1135.2,1137.55,1120.65,1128.2,1977441
2022-11-28,1125.0,1132.75,1117.0,1118.8,2368293
2022-11-29,1118.8,1138.75,1118.05,1128.95,1785948
2022-11-30,1127.0,1129.9,1117.0,1120.8,6053488
