Date,Open,High,Low,Close,Volume
2024-02-12,520.5,526.4,519.8,525.2,529409
2024-02-13,526.0,528.55,523.0,525.15,718699
2024-02-14,515.5,527.9,515.5,527.0,1311331
2024-02-15,527.0,527.45,518.85,522.0,1143167
2024-02-16,522.4,526.4,519.85,523.8,1673623
2024-02-19,524.45,529.5,523.5,526.5,960744
2024-02-20,527.95,537.4,524.75,536.2,1203500
2024-02-21,536.65,540.8,533.65,538.7,4398178
2024-02-22,545.0,545.2,537.75,539.0,1119584
2024-02-23,539.5,540.65,528.75,530.15,2093913
2024-02-26,525.1,532.8,525.0,525.65,1270303
2024-02-27,527.0,527.45,519.9,523.25,3305817
2024-02-28,523.25,525.95,520.7,523.35,2328617
2024-02-29,523.35,526.6,520.15,522.6,3588262
2024-03-01,523.25,526.5,522.2,524.25,1414893
2024-03-02,525.0,529.9,524.0,528.45,83778
2024-03-04,529.0,529.9,522.0,524.05,1604843
2024-03-05,524.05,525.1,517.1,518.5,2321785
2024-03-06,511.6,512.05,504.05,505.65,1262432
2024-03-07,504.0,517.75,503.35,514.6,1828309
2024-03-11,514.6,515.0,508.1,509.2,1521855
2024-03-12,509.2,510.5,501.0,503.6,802956
2024-03-13,504.9,511.7,494.65,496.15,2217193
2024-03-14,496.15,509.15,492.15,506.05,2326218
2024-03-15,507.0,509.65,496.5,500.15,2751229
2024-03-18,500.15,502.75,496.0,497.5,1322999
2024-03-19,496.0,497.45,486.3,490.05,1840899
2024-03-20,490.05,496.4,487.3,492.6,818930
2024-03-21,495.0,501.5,491.55,500.7,1472539
2024-03-22,501.0,504.0,495.0,497.75,1090354
2024-03-26,491.05,499.7,491.05,496.55,1641519
2024-03-27,499.0,499.45,492.6,494.8,765910
2024-03-28,496.4,499.95,490.8,497.2,1873929
2024-04-01,497.2,504.9,494.7,495.8,798915
2024-04-02,497.0,499.9,496.0,499.0,665814
2024-04-03,501.25,501.8,495.2,496.05,753923
2024-04-04,499.25,499.25,490.55,491.5,967522
2024-04-05,494.5,510.85,493.05,509.5,3357470
2024-04-08,511.5,521.0,509.9,519.0,1952580
2024-04-09,518.8,519.75,507.65,509.55,609398
2024-04-10,513.2,516.6,507.15,515.2,937271
2024-04-12,516.7,519.3,512.95,514.55,900595
2024-04-15,510.15,514.0,505.35,509.25,1163084
2024-04-16,506.7,515.45,502.2,508.15,1357134
2024-04-18,512.8,515.95,495.15,506.4,3161005
2024-04-19,503.85,508.0,502.0,505.3,1090283
2024-04-22,515.55,515.55,505.25,506.0,3016169
2024-04-23,507.5,513.45,505.6,510.15,860942
2024-04-24,510.6,513.2,508.0,509.3,553044
2024-04-25,511.3,511.3,503.15,510.15,642394
2024-04-26,511.95,518.7,510.35,517.85,1801225
2024-04-29,520.5,524.0,512.8,515.6,1650076
2024-04-30,518.0,519.95,515.6,518.0,1307750
2024-05-02,517.5,522.8,513.4,517.85,926594
2024-05-03,519.95,521.45,510.45,516.9,1104998
2024-05-06,520.9,534.0,518.25,530.3,3372308
2024-05-07,562.0,586.0,559.6,583.5,35041160
2024-05-08,583.5,598.5,573.5,595.65,8678579
2024-05-09,590.2,593.65,579.35,581.35,6584839
2024-05-10,581.0,588.5,574.2,587.15,1775304
2024-05-13,590.85,605.25,584.4,594.55,3806732
2024-05-14,593.95,612.4,585.75,600.25,4911104
2024-05-15,601.8,603.15,586.15,591.6,1257277
2024-05-16,590.7,601.0,585.05,591.25,2586189
2024-05-17,591.4,600.0,582.3,597.05,2280419
2024-05-18,597.0,599.9,591.1,594.55,91597
2024-05-21,592.0,597.5,585.0,590.15,2397255
2024-05-22,591.0,608.3,590.2,602.7,4604232
2024-05-23,607.15,613.7,601.9,608.15,3345604
2024-05-24,606.6,606.6,596.25,604.0,1841955
2024-05-27,612.9,612.9,600.6,602.55,1748191
2024-05-28,607.0,615.9,602.85,608.1,3123135
2024-05-29,608.0,615.0,601.75,605.45,2252674
2024-05-30,601.05,604.9,590.65,597.25,1280510
2024-05-31,597.25,603.5,591.55,595.55,4303624
2024-06-03,609.0,609.0,592.0,594.1,1859030
2024-06-04,602.0,620.0,588.25,614.55,9095613
2024-06-05,621.45,667.2,618.1,645.5,13511763
2024-06-06,646.8,650.0,626.55,637.85,2216040
2024-06-07,634.1,654.95,634.1,653.0,2475400
2024-06-10,655.0,659.5,646.5,651.65,1431839
2024-06-11,651.0,661.35,645.45,647.3,1434087
2024-06-12,650.0,650.0,625.8,629.5,3807297
2024-06-13,634.95,635.0,605.35,611.25,13174925
2024-06-14,614.85,621.95,610.8,619.35,2504833
2024-06-18,625.0,625.0,615.7,623.5,1998831
2024-06-19,627.0,630.6,617.75,622.45,2262576
2024-06-20,625.0,629.5,616.25,628.4,964116
2024-06-21,628.4,629.55,609.0,609.8,2029376
2024-06-24,610.0,623.95,607.0,623.05,1626740
2024-06-25,623.8,624.9,613.55,615.05,1199541
2024-06-26,614.8,619.9,609.1,613.15,2712167
2024-06-27,613.0,620.4,608.8,611.65,2676129
2024-06-28,613.0,622.65,610.6,613.0,1587880
2024-07-01,614.2,622.9,614.2,620.5,2138264
2024-07-02,620.5,621.5,601.0,603.15,2968214
2024-07-03,604.4,609.15,601.75,607.5,1426759
2024-07-04,613.6,613.6,605.65,608.05,2066331
2024-07-05,609.0,618.7,606.5,615.35,6070845
2024-07-08,632.0,655.8,629.0,641.3,7813665
2024-07-09,639.95,644.3,630.55,637.8,2729681
2024-07-10,638.55,655.0,632.15,646.1,4021275
2024-07-11,649.7,649.7,638.25,644.8,2390064
2024-07-12,648.25,654.6,636.0,650.1,4784826
2024-07-15,658.95,658.95,646.7,652.95,2052411
2024-07-16,654.0,672.9,652.95,667.35,3414973
2024-07-18,664.25,686.25,664.25,684.85,6427954
2024-07-19,686.0,686.2,666.4,668.65,929516
2024-07-22,669.95,672.15,663.55,668.05,1127244
2024-07-23,667.0,680.0,659.95,672.55,1800272
2024-07-24,671.95,674.5,649.1,657.95,3992281
2024-07-25,657.0,678.9,653.95,675.0,2901644
2024-07-26,675.8,682.0,672.8,679.75,1132507
2024-07-29,679.5,685.0,676.05,683.05,1787407
2024-07-30,683.05,691.0,673.1,681.0,3126859
2024-07-31,681.75,683.9,670.8,674.1,1711988
2024-08-01,675.65,681.45,670.6,674.9,1148693
2024-08-02,672.0,677.75,659.6,662.4,959145
2024-08-05,656.15,682.0,656.15,672.15,10662953
2024-08-06,672.0,672.0,626.25,628.5,6060478
2024-08-07,630.5,651.75,628.0,649.05,2720532
2024-08-08,654.0,658.9,642.75,652.25,2938101
2024-08-09,657.0,659.45,648.35,653.0,1218872
2024-08-12,648.0,651.0,637.7,644.65,1318087
2024-08-13,647.0,665.75,646.9,660.55,4531168
2024-08-14,660.8,665.2,641.6,650.25,1714599
2024-08-16,654.8,663.25,650.6,661.05,1290553
2024-08-19,666.2,673.75,660.8,669.15,1453761
2024-08-20,669.15,671.95,662.35,668.9,997284
2024-08-21,670.0,679.95,667.7,679.3,1206265
2024-08-22,679.3,687.5,677.8,682.95,2014766
2024-08-23,682.95,688.65,670.45,678.2,1708479
2024-08-26,681.0,692.8,678.8,688.55,1839363
2024-08-27,686.5,691.45,673.0,675.8,1403508
2024-08-28,675.8,678.9,660.0,661.9,2436997
2024-08-29,661.9,666.0,651.45,660.75,2123160
2024-08-30,659.05,664.7,644.75,647.15,7817523
